# ParameterName                  value       errLow      errHigh
----- SOLUTION 0 -----
Acp_KK                       -0.000158    -0.001601     0.001601
Acp_KP                        0.000000     0.100000    -0.100000
Acp_PP                        0.000485    -0.001661     0.001661
Delta_K3pi                    0.482500    -0.263813     0.263813
Delta_Kpi                    -0.166110    -0.120406     0.120406
Delta_Kpipi0                 -0.275923    -0.190635     0.190635
F_pipipi0                     0.944869    -0.005993     0.005993
k_K3pi                        0.503543    -0.071828     0.071828
k_Kpipi0                      0.790310    -0.039877     0.039877
phiG                          0.065024    -0.122954     0.122954
phiM                         -0.072665    -0.076942     0.076942
r_K3pi                        0.054695    -0.000437     0.000437
r_Kpi                         0.058660    -0.000317     0.000317
r_Kpipi0                      0.044091    -0.001099     0.001099
x12                           0.002454    -0.001348     0.001348
y12                           0.005943    -0.000392     0.000392

----- SOLUTION 1 -----
Acp_KK                        0.000133    -0.001583     0.001583
Acp_KP                        0.000000     0.100000    -0.100000
Acp_PP                        0.000765    -0.001645     0.001645
Delta_K3pi                    0.471192    -0.231563     0.231563
Delta_Kpi                    -0.139782    -0.154861     0.154861
Delta_Kpipi0                 -0.233589    -0.186954     0.186954
F_pipipi0                     0.944869    -0.005993     0.005993
k_K3pi                        0.545316    -0.071851     0.071851
k_Kpipi0                      0.797110    -0.039393     0.039393
phiG                          0.034544    -0.127874     0.127874
phiM                          2.957979    -0.3          0.3
r_K3pi                        0.055038    -0.000410     0.000410
r_Kpi                         0.058454    -0.000284     0.000284
r_Kpipi0                      0.043986    -0.001096     0.001096
x12                           0.000000    -0.000157     0.000157
y12                           0.005827    -0.000268     0.000268

----- SOLUTION 2 -----
Acp_KK                        0.000129    -0.001583     0.001583
Acp_KP                        0.000000     0.100000    -0.100000
Acp_PP                        0.000761    -0.001645     0.001645
Delta_K3pi                    0.472369    -0.230096     0.230096
Delta_Kpi                    -0.008860    -0.086718     0.086718
Delta_Kpipi0                 -0.231537    -0.186966     0.186966
F_pipipi0                     0.944854    -0.005993     0.005993
k_K3pi                        0.547638    -0.071741     0.071741
k_Kpipi0                      0.797381    -0.039397     0.039397
phiG                          0.290000     0.3         -0.3
phiM                          2.000147     0.3         -0.3
r_K3pi                        0.055068    -0.000408     0.000408
r_Kpi                         0.058507    -0.000281     0.000281
r_Kpipi0                      0.043982    -0.001096     0.001096
x12                           0.000000    -0.000058     0.000058
y12                           0.005938    -0.000261     0.000261

----- SOLUTION 3 -----
Acp_KK                        0.000130    -0.001583     0.001583
Acp_KP                        0.000000     0.100000    -0.100000
Acp_PP                        0.000761    -0.001645     0.001645
Delta_K3pi                    0.471264    -0.232024     0.232024
Delta_Kpi                    -0.160046    -0.134284     0.134284
Delta_Kpipi0                 -0.233899    -0.186956     0.186956
F_pipipi0                     0.944873    -0.005993     0.005993
k_K3pi                        0.544917    -0.071930     0.071930
k_Kpipi0                      0.797063    -0.039394     0.039394
phiG                         -0.010000     0.2         -0.2
phiM                          1.706932     0.2         -0.2
r_K3pi                        0.055034    -0.000410     0.000410
r_Kpi                         0.058457    -0.000284     0.000284
r_Kpipi0                      0.043987    -0.001096     0.001096
x12                           0.000000    -0.000061     0.000061
y12                           0.005835    -0.000271     0.000271

----- SOLUTION 4 -----
Acp_KK                        0.000130    -0.001583     0.001583
Acp_KP                        0.000000     0.100000    -0.100000
Acp_PP                        0.000761    -0.001645     0.001645
Delta_K3pi                    0.471263    -0.232024     0.232024
Delta_Kpi                    -0.160054    -0.134281     0.134281
Delta_Kpipi0                 -0.233899    -0.186957     0.186957
F_pipipi0                     0.944873    -0.005993     0.005993
k_K3pi                        0.544917    -0.071930     0.071930
k_Kpipi0                      0.797064    -0.039394     0.039394
phiG                         -0.010000    -0.2          0.2
phiM                          1.392773    -0.2          0.2
r_K3pi                        0.055034    -0.000410     0.000410
r_Kpi                         0.058457    -0.000284     0.000284
r_Kpipi0                      0.043987    -0.001096     0.001096
x12                           0.000000    -0.000065     0.000065
y12                           0.005835    -0.000271     0.000271
