# ParameterName                  value       errLow      errHigh

----- SOLUTION 0 -----
### FCN: 50.5011, EDM: 2.7521e-08
### COV quality: 3, status: 0, confirmed: yes
Acp_KK                        0.000896    -0.000519     0.000519
Acp_KP                        0.000000     1.000000    -1.000000
Acp_PP                        0.002440    -0.000570     0.000570
Delta_K3pi                    0.453786    -0.314159     0.314159
Delta_Kpi                    -0.255064    -0.055239     0.055239
Delta_Kpipi0                 -0.279253    -0.191986     0.191986
F_pipipi0                     0.944890    -0.005994     0.005994
k_K3pi                        0.490000    -0.105000     0.105000
k_Kpipi0                      0.790000    -0.040000     0.040000
r_K3pi                        0.054600    -0.000800     0.000800
r_Kpi                         0.058622    -0.000100     0.000100
r_Kpipi0                      0.044100    -0.001100     0.001100
# Theoretical
x12                           0.003912    -0.000442     0.000442
y12                           0.006313    -0.000227     0.000227
phiG                          0.034971    -0.027095     0.027095
phiM                          0.001333    -0.012716     0.012716
# Phenomenological
x                             0.003915    -0.000442     0.000442
y                             0.006309    -0.000228     0.000228
phi                          -0.024711    -0.017473     0.017473
qop                           0.982575    -0.016340     0.016340
