# Values taken from the R12 LHCb average allowing for final-state corrections to DeltaY(h- h+).
# No CPV in D0 -> K+ pi- decays is allowed.

# ParameterName                  value       errLow      errHigh

----- SOLUTION 0 -----
Delta_K3pi                    0.333074    -0.215349     0.215349
Delta_Kpi                    -0.254820    -0.054995     0.054995
Delta_Kpipi0                 -0.277251    -0.191960     0.191960
F_pipipi0                     0.944890    -0.005994     0.005994
k_K3pi                        0.446067    -0.047880     0.047880
k_Kpipi0                      0.790222    -0.040090     0.040090
r_K3pi                        0.054554    -0.000437     0.000437
r_Kpi                         0.058620    -0.000099     0.000099
r_Kpipi0                      0.044118    -0.001100     0.001100
# Theoretical
x12                           0.003859    -0.000439     0.000439
y12                           0.006307    -0.000224     0.000224
phiG                          0.040045    -0.027331     0.027331
phiM                         -0.006247    -0.015225     0.015225
# Phenomenological
x                             0.003869    -0.000439     0.000439
y                             0.006309    -0.000224     0.000224
phi                          -0.029170    -0.017732     0.017732
qop                           0.971004    -0.018306     0.018306
# CP violation in the decay
Acp_KK                        0.000883    -0.000533     0.000533
Acp_KP                        0.000000     1.000000    -1.000000
Acp_PP                        0.002836    -0.000664     0.000664
DY_KK                        -0.000057    -0.000130     0.000130
DY_PP                        -0.000317    -0.000237     0.000237
cot_delta_KK                  1.          -3.381800     3.381800
cot_delta_PP                  1.          -1.347754     1.347754
delta_KK                     -0.6         -3.381800     3.381800
delta_PP                     -0.6         -1.347754     1.347754
r_KK                          1.          -3.381800     3.381800
r_PP                          1.          -1.347754     1.347754
