# ParameterName                  value       errLow      errHigh

----- SOLUTION 0 -----
### FCN: 7.08416, EDM: 9.20845e-06
### COV quality: 3, status: 0, confirmed: yes
Acp_KK                        0.001449    -0.003109     0.003109
Acp_KP                        0.000000     1.000000    -1.000000
Delta_Kpi                    -0.282307    -0.414558     0.414558
phiG                         -0.734876    -0.231069     0.231069
phiM                          2.148557    -1.443836     1.443836
r_Kpi                         0.058599    -0.000153     0.000153
x12                           0.001404    -0.003639     0.003639
y12                           0.006988    -0.001303     0.001303

----- SOLUTION 1 -----
### FCN: 7.08432, EDM: 0.000173099
### COV quality: 3, status: 0, confirmed: yes
Acp_KK                        0.001452    -0.003582     0.003582
Acp_KP                        0.000000     1.000000    -1.000000
Delta_Kpi                     0.283732    -0.474250     0.474250
phiG                          0.736553    -0.230322     0.230322
phiM                          0.993189    -1.666537     1.666537
r_Kpi                         0.058600    -0.000154     0.000154
x12                           0.001415    -0.004295     0.004295
y12                           0.006994    -0.001419     0.001419

----- SOLUTION 2 -----
### FCN: 7.21277, EDM: 0.00188236
### COV quality: 3, status: 0, confirmed: yes
Acp_KK                        0.000728    -0.001459     0.001459
Acp_KP                        0.000000     1.000000    -1.000000
Delta_Kpi                    -0.759653    -0.324464     0.324464
phiG                         -0.146351    -0.165929     0.165929
phiM                          1.802120    -1.894811     1.894811
r_Kpi                         0.058599    -0.000156     0.000156
x12                           0.000708    -0.000767     0.000767
y12                           0.007084    -0.001018     0.001018
