# ParameterName                  value       errLow      errHigh

----- SOLUTION 0 -----
### FCN: 28.7912, EDM: 1.085e-07
### COV quality: 3, status: 0, confirmed: yes
Acp_KK                        0.002083    -0.001170     0.001170
Acp_KP                        0.000000     1.000000    -1.000000
Delta_Kpi                    -0.146223    -0.125683     0.125683
F_pipipi0                     0.942544    -0.004046     0.004046
r_Kpi                         0.058548    -0.000127     0.000127
x                             0.003282    -0.001662     0.001662
y                             0.005867    -0.000421     0.000421

----- SOLUTION 1 -----
Acp_KK                        0.001409    -0.000871     0.000871
Acp_KP                        0.000000     1.000000    -1.000000
Delta_Kpi                     0.1462      -0.129879     0.129879
F_pipipi0                     1.046784    -0.128676     0.128676
r_Kpi                         0.058610    -0.0002       0.0002
x                            -0.003       -0.001689     0.001689
y                             0.0053      -0.001        0.001
