----- SOLUTION 0 -----
# ParameterName                  value       errLow      errHigh
Acp_KK                        0.000878    -0.000519     0.000519
Acp_KP                        0.000000     1.000000    -1.000000
Acp_PP                        0.002423    -0.000570     0.000570
Delta_K3pi                    0.336604    -0.211558     0.211558
Delta_Kpi                    -0.242367    -0.052901     0.052901
Delta_Kpipi0                 -0.305621    -0.172469     0.172469
F_pipipi0                     0.940895    -0.006406     0.006406
k_K3pi                        0.444081    -0.047334     0.047334
k_Kpipi0                      0.791667    -0.039891     0.039891
r_K3pi                        0.054548    -0.000437     0.000437
r_Kpi                         0.058611    -0.000098     0.000098
r_Kpipi0                      0.044100    -0.001099     0.001099

# Theoretical parametrisation
phiG                          0.036603    -0.027417     0.027417
phiM                          0.000799    -0.012370     0.012370
x12                           0.003989    -0.000420     0.000420
y12                           0.006279    -0.000217     0.000217

# Phenomenological parametrisation
phi                          -0.025606    -0.017495     0.017495
qop                           0.980930    -0.016360     0.016360
x                             0.003992    -0.000420     0.000420
y                             0.006275    -0.000217     0.000217
