##### auto-generated by ParameterCache #######
##### printed on Mon Aug 10 10:48:43 2026 ######
# ParameterName                  value       errLow      errHigh

----- SOLUTION 0 -----
### FCN: 34.382, EDM: 2.85918e-07
### COV quality: 2, status: 1, confirmed: yes
Acp_KK                        0.000014    -0.001576     0.001576
Acp_KP                        0.000000     1.000000    -1.000000
Acp_PP                        0.000650    -0.001635     0.001635
Delta_K3pi                   -0.468112    -1.285826     1.285826
Delta_Kpi                    -0.190285    -0.117416     0.117416
F_pipipi0                     0.942540    -0.004038     0.004038
k_K3pi                        0.704184    -0.997326     0.997326
r_K3pi                        0.054737    -0.000728     0.000728
r_Kpi                         0.059236    -0.000288     0.000288
# Theoretical
x12                           0.003075    -0.001546     0.001546
y12                           0.006494    -0.000491     0.000491
phiG                          0.183922    -0.105063     0.105063
phiM                          0.019290    -0.060347     0.060347
# Phenomenological
x                             0.002368    -0.001649     0.001649
y                             0.006260    -0.000398     0.000398
phi                          -0.086238    -0.102397     0.102397
qop                           0.956771    -0.046747     0.046747
