----- SOLUTION 0 -----
# ParameterName                  value       errLow      errHigh
Acp_KK                        0.000639    -0.000532     0.000532
Acp_KP                       -0.005198    -0.002618     0.002618
Acp_PP                        0.002195    -0.000581     0.000581
Delta_K3pi                    0.339240    -0.213391     0.213391
Delta_Kpi                    -0.249212    -0.052925     0.052925
Delta_Kpipi0                 -0.307644    -0.172534     0.172534
F_pipipi0                     0.942554    -0.004046     0.004046
r_Kpi                         0.058617    -0.000094     0.000094
k_K3pi                        0.444545    -0.047580     0.047580
k_Kpipi0                      0.791705    -0.039893     0.039893
r_K3pi                        0.054547    -0.000437     0.000437
r_Kpipi0                      0.044099    -0.001099     0.001099

# Theoretical parametrisation
phiG                          0.047939    -0.027630     0.027630
phiM                          0.021227    -0.016496     0.016496
x12                           0.003917    -0.000420     0.000420
y12                           0.006303    -0.000216     0.000216

# Phenomenological parametrisation
phi                          -0.039342    -0.018775     0.018775
qop                           0.986377    -0.016556     0.016556
x                             0.003919    -0.000420     0.000420
y                             0.006301    -0.000216     0.000216
