##### auto-generated by ParameterCache #######
##### printed on Mon Aug 10 10:48:43 2026 ######
# ParameterName                  value       errLow      errHigh

----- SOLUTION 0 -----
### FCN: 37.0716, EDM: 2.49516e-08
### COV quality: 2, status: 1, confirmed: yes
Acp_KK                        0.000225    -0.001585     0.001585
Acp_KP                        0.000000     1.000000    -1.000000
Acp_PP                        0.000853    -0.001642     0.001642
Delta_K3pi                   -0.068436    -2.565937     2.565937
Delta_Kpi                    -0.290615    -0.106275     0.106275
F_pipipi0                     0.942536    -0.004037     0.004037
k_K3pi                        0.486843    -0.710714     0.710714
r_K3pi                        0.054828    -0.000736     0.000736
r_Kpi                         0.061029    -0.002330     0.002330
# Theoretical
x12                           0.003075    -0.001546     0.001546
y12                           0.006494    -0.000491     0.000491
phiG                          0.183922    -0.105063     0.105063
phiM                          0.019290    -0.060347     0.060347
# Phenomenological
x                             0.003034    -0.001541     0.001541
y                             0.006473    -0.000480     0.000480
phi                          -0.152834    -0.087839     0.087839
qop                           0.939312    -0.050837     0.050837
